user_id,listening_date,avg_valence,avg_energy,avg_tempo,total_duration_ms,emotional_intensity,track_count,total_duration_minutes,mood_trend,rolling_mean_valence_3d,valence_std_3d,duration_delta,stable_low,trend_class,risk_score,risk_rank,is_low_valence_day,low_valence_flag,low_mood_streak,consecutive_low_streak,mood_status,recommendation_stage
user_001,2026-04-13,0.376,0.657,121.57,1067352,11.285283,8,17.79,0.0,0.376,0.0,0.0,1,stable,0.0295,1218,True,1,1,1,Normal,neutral
user_001,2026-04-14,0.443,0.532,102.23,2602467,27.720097,16,43.37,0.067,0.409,0.047,25.58,0,improving,0.2089,405,False,0,0,0,Normal,neutral
user_001,2026-04-15,0.415,0.536,125.92,2035673,19.545815,15,33.93,-0.028,0.411,0.034,-9.44,0,worsening,0.1287,830,False,0,0,0,Normal,neutral
user_001,2026-04-16,0.409,0.568,137.84,1488165,16.156519,12,24.8,-0.006,0.422,0.018,-9.13,0,stable,0.0646,1137,False,0,0,0,Normal,neutral
user_001,2026-04-17,0.407,0.568,118.98,1707303,17.515743,12,28.46,-0.002,0.41,0.004,3.66,0,stable,0.0753,1100,False,0,0,0,Normal,neutral
user_001,2026-04-18,0.33,0.486,119.12,2973153,38.332817,17,49.55,-0.077,0.382,0.045,21.09,1,worsening,0.2763,179,True,1,1,1,Normal,neutral
user_001,2026-04-19,0.487,0.716,124.21,1018552,9.533596,8,16.98,0.157,0.408,0.079,-32.57,0,improving,0.2123,391,False,0,0,0,Normal,neutral
user_001,2026-04-20,0.154,0.395,111.81,2018731,28.693039,15,33.65,-0.333,0.324,0.167,16.67,0,worsening,0.5402,3,True,1,1,1,Normal,reflective
user_001,2026-04-21,0.123,0.666,122.57,1146007,16.777277,10,19.1,-0.031,0.255,0.202,-14.55,0,worsening,0.0873,1041,True,1,2,2,Normal,reflective
user_001,2026-04-22,0.121,0.423,115.52,1215502,17.601501,9,20.26,-0.002,0.133,0.019,1.16,1,stable,0.0594,1153,True,1,3,3,Prolonged Low Mood,reflective
user_001,2026-04-23,0.532,0.647,129.91,1921843,13.681427,13,32.03,0.411,0.259,0.237,11.77,0,improving,0.5694,2,False,0,0,0,Normal,light positive
user_001,2026-04-24,0.457,0.55,108.35,2898592,25.988861,18,48.31,-0.075,0.37,0.219,16.28,0,worsening,0.2344,304,False,0,0,0,Normal,neutral
user_001,2026-04-25,0.466,0.526,116.43,2266270,21.745377,16,37.77,0.009,0.485,0.041,-10.54,0,stable,0.1119,925,False,0,0,0,Normal,neutral
user_001,2026-04-26,0.501,0.701,118.83,2261822,19.736902,16,37.7,0.035,0.475,0.023,-0.07,0,improving,0.1366,786,False,0,0,0,Normal,light positive
user_001,2026-04-27,0.483,0.565,123.4,1575882,14.0588045,15,26.26,-0.018,0.483,0.018,-11.44,0,stable,0.0774,1089,False,0,0,0,Normal,neutral
user_001,2026-04-28,0.532,0.633,127.47,2313398,17.746744,16,38.56,0.049,0.505,0.025,12.3,0,improving,0.1507,696,False,0,0,0,Normal,light positive
user_001,2026-04-29,0.399,0.53,120.02,1666219,17.82772,13,27.77,-0.133,0.471,0.067,-10.79,0,worsening,0.2327,311,True,1,1,1,Normal,neutral
user_001,2026-04-30,0.292,0.577,120.27,1280462,15.480333,9,21.34,-0.107,0.408,0.12,-6.43,0,worsening,0.1814,539,True,1,2,2,Normal,reflective
user_001,2026-05-01,0.372,0.549,125.78,2686413,26.070395,17,44.77,0.08,0.354,0.056,23.43,1,improving,0.2472,259,True,1,3,3,Prolonged Low Mood,neutral
user_001,2026-05-02,0.293,0.592,111.2,1740922,21.291563,12,29.02,-0.079,0.319,0.046,-15.75,1,worsening,0.1858,518,True,1,4,4,Prolonged Low Mood,reflective
user_001,2026-05-03,0.357,0.49,109.53,2285479,26.827204,13,38.09,0.064,0.341,0.042,9.07,1,improving,0.2008,442,True,1,5,5,Prolonged Low Mood,neutral
user_002,2026-04-13,0.604,0.627,112.66,1203737,8.06256,12,20.06,0.0,0.604,0.0,0.0,0,stable,0.0251,1223,False,0,0,0,Normal,light positive
user_002,2026-04-14,0.361,0.665,132.28,952854,10.785966,10,15.88,-0.243,0.482,0.172,-4.18,0,worsening,0.3172,99,True,1,1,1,Normal,neutral
user_002,2026-04-15,0.427,0.567,112.75,2545846,23.5794,18,42.43,0.066,0.464,0.126,26.55,0,improving,0.2075,415,False,0,0,0,Normal,neutral
user_002,2026-04-16,0.393,0.576,120.97,1990647,21.93746,16,33.18,-0.034,0.394,0.033,-9.25,1,worsening,0.1363,789,True,1,1,1,Normal,neutral
user_002,2026-04-17,0.354,0.583,102.47,2548905,29.40661,15,42.48,-0.039,0.391,0.037,9.3,1,worsening,0.1911,490,True,1,2,2,Normal,neutral
user_002,2026-04-18,0.522,0.616,120.0,1680652,12.332481,12,28.01,0.168,0.423,0.088,-14.47,0,improving,0.2616,212,False,0,0,0,Normal,light positive
user_002,2026-04-19,0.349,0.665,119.5,2524286,26.429182,17,42.07,-0.173,0.408,0.098,14.06,0,worsening,0.3533,57,True,1,1,1,Normal,neutral
